GEL-Breast_common_SBS13	GEL-Breast_common_SBS5	GEL-Breast_common_SBS8	GEL-Breast_common_SBS2	GEL-Breast_common_SBS3	GEL-Breast_common_SBS18	GEL-Breast_common_SBS1	GEL-Breast_common_SBS127	GEL-Breast_common_SBS17	GEL-Breast_rare_SBS44	GEL-Breast_rare_SBS6	GEL-Breast_rare_SBS26	GEL-Breast_rare_SBS57	GEL-Breast_rare_SBS116	GEL-Breast_rare_SBS7a	GEL-Breast_rare_SBS96	GEL-Breast_rare_SBS30	GEL-Breast_rare_SBS87	GEL-Breast_rare_SBS94	GEL-Breast_rare_SBS4	GEL-Breast_rare_SBS124	GEL-Breast_rare_SBS105	GEL-Breast_rare_SBS31	GEL-Breast_rare_SBS23+114	GEL-Breast_rare_SBS33+114	GEL-Breast_rare_SBS136	GEL-Breast_rare_SBS123	GEL-Breast_rare_SBS114	unassigned
GEL-2849300-11	0	522.586561264822	0	0	192.84743083004	148.382608695652	543.569960474308	176.860079051383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311.753359683795
GEL-2363469-11	0	1259.11609961417	0	0	0	0	658.537706068046	263.814801823921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	667.531392493863
GEL-2311021-11	0	745.904978662873	376.962731152205	0	462.180369843528	304.778378378378	1047.17439544808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	586.999146514936
GEL-2885071-11	0	952.057419196866	0	273.233961802155	648.241307541626	557.998898139079	1312.02436336925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351.444049951024
GEL-2176131-11	0	638.25327510917	0	218.086542278682	288.614529575228	0	762.302500992457	264.605001984915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348.138150059548
GEL-2163963-11	0	666.161338132543	224.879313995342	157.565106923566	0	0	863.616345543087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442.777895405462
GEL-2565852-11	0	1064.79016604746	4259.66127075593	0	4184.57028584426	983.191295776784	1151.895708545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1560.89127303057
GEL-2567047-11	0	0	2562.78019113814	0	3127.39270199826	0	724.786272806255	1025.11207645526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1777.92875760209
GEL-2806639-11	3640.90635639926	1580.54461726883	8108.35899571341	2143.41663196571	2343.54890385793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2609.22449479486
GEL-2915932-11	17472.739055794	0	0	23512.642639485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5648.618304721
GEL-2099802-11	0	985.177445505314	0	0	0	194.53503873176	701.126283552513	291.052422986849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604.108809223564
GEL-2399207-11	0	547.967508055854	0	0	0	247.161922663802	548.468850698174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.40171858217
GEL-2440029-11	0	433.62144772118	0	0	266.496514745308	178.668096514745	650.934048257373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342.279892761394
GEL-2043239-11	1505.84943340145	622.885472784693	0	1654.17936095114	0	0	885.469533717258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	726.616199145459
