GEL-Bladder_common_SBS13	GEL-Bladder_common_SBS17	GEL-Bladder_common_SBS92+100	GEL-Bladder_common_SBS1	GEL-Bladder_common_SBS2	GEL-Bladder_common_SBS2+13+107	GEL-Bladder_common_SBS92	GEL-Bladder_rare_SBS57	GEL-Bladder_rare_SBS94	GEL-Bladder_rare_SBS23	GEL-Bladder_rare_SBS109	GEL-Bladder_rare_SBS31	GEL-Bladder_rare_SBS33	GEL-Bladder_rare_SBS6	GEL-Bladder_rare_SBS20	GEL-Bladder_rare_SBS4	GEL-Bladder_rare_SBS147	GEL-Bladder_rare_SBS105	unassigned
GEL-2474816-11	2283.55544848036	0	477.347739065975	964.2123795404	1134.51482579689	659.671534469978	1164.56819866568	0	0	0	0	0	0	0	0	0	0	0	73.1298739807171
GEL-2008671-11	3225.3311707558	1201.56456446567	2106.7365387782	1744.36785773094	1331.51747077227	4797.7613370657	0	0	0	0	0	0	0	0	0	0	0	0	769.72106043142
GEL-2644280-11	2291.99061196106	0	0	1129.98139777469	981.852746870654	0	918.797983310153	0	0	0	0	0	0	0	0	0	0	0	434.377260083443
GEL-2126596-11	6358.41930572473	0	0	1727.1571635201	2786.56025426309	0	964.86712088916	0	0	0	0	0	0	0	0	0	0	0	1303.99615560292
GEL-2060746-11	0	0	1903.95989650712	2147.77490297542	0	3196.12936610608	789.520051746443	0	0	0	0	0	0	0	0	0	0	0	863.615782664937
GEL-2436256-11	7407.23085471232	1670.63085088039	5807.1688923802	0	0	10038.7997624202	0	0	0	0	0	0	0	0	0	0	0	0	1198.16963960689
GEL-2086824-11	5409.0089175777	0	1191.22219320175	1455.27144509533	2488.96425506511	2399.94765120704	0	0	0	0	0	0	0	0	0	0	0	0	458.585537853069
GEL-2442247-11	12530.7989265862	0	0	0	4389.07930803144	1563.35015334483	0	0	0	0	0	0	0	0	0	0	0	0	2382.77161203753
GEL-2113492-11	8930.1671744395	0	1435.23224748067	2543.6839309429	2966.54698851652	2374.03827825951	0	0	0	0	0	0	0	0	0	0	0	0	968.331380360898
GEL-2068640-11	1684.55339287077	0	948.122967712388	1226.71834211129	695.489886268224	568.174795817113	1257.17410884665	0	0	0	0	0	0	0	0	0	0	0	160.766506373565
GEL-2910032-11	1260.04581412946	0	0	1724.69395336039	1130.64380546192	2593.03638990163	0	0	0	0	0	0	0	0	0	0	0	0	554.580037146599
GEL-2472360-11	7326.87303231844	0	0	1306.40753985495	2300.07660171786	901.745930951506	2021.30971558437	0	0	0	0	0	0	0	0	0	0	0	1091.58717957287
GEL-2900333-11	1426.37893067912	0	573.85360697613	1417.87368977363	474.29225755307	1023.13045010129	673.41495639919	0	0	0	0	0	0	0	0	0	0	0	91.0561085175696
GEL-2604476-11	37669.5247444066	0	0	0	7416.92971445505	0	0	0	0	0	0	0	0	0	0	0	0	0	2146.54554113835
GEL-2981381-11	0	0	0	406.187871077184	0	397.673452078032	2255.31933842239	0	0	0	0	0	0	0	0	0	0	0	483.819338422394
GEL-2745974-11	8584.57145123547	0	2266.83060326022	3584.65077539365	3434.22837425138	2890.00912227819	0	0	0	0	0	0	3948.46309443541	0	0	0	0	0	491.246579145682
GEL-2937048-11	14572.2234848485	0	0	0	3464.08164983165	1409.81228956229	0	0	0	0	0	0	0	0	0	0	0	0	3106.88257575756
GEL-2921503-11	13700.077893087	0	0	0	3627.44733904866	1314.84338264979	0	0	0	0	0	0	0	0	0	0	0	0	2417.63138521455
