ICGC-Bone_SoftTissue_common_SBS5	ICGC-Bone_SoftTissue_common_SBS122	ICGC-Bone_SoftTissue_common_SBS18	ICGC-Bone_SoftTissue_common_SBS3	ICGC-Bone_SoftTissue_common_SBS1+5	ICGC-Bone_SoftTissue_common_SBS2+13	ICGC-Bone_SoftTissue_common_SBS8	ICGC-Bone_SoftTissue_common_SBS17	ICGC-Bone_SoftTissue_rare_SBS31	ICGC-Bone_SoftTissue_rare_SBS30	unassigned
729229fe-92b9-439b-acd2-b49159116a41	0	960.443499953802	559.758477316825	881.907234592996	1098.50725307216	0	0	1306.10311373926	0	0	607.280421324957
7d332cb1-ba25-47e4-8bf8-d25e14f40d59	1031.92765339967	0	1264.02383913765	685.7842039801	1825.25642620232	2991.23963515755	1386.57462686567	0	0	0	467.19361525704
408ed640-75f6-4346-bdd0-3b93c51adae5	756.475877746906	0	0	235.771659509977	390.277342763324	0	378.739580702198	0	0	0	224.735539277595
cdbbd701-9c05-4f9e-923d-06039dd8a04d	1577.59349973065	0	2415.70569222482	2423.71632249955	1258.16961752559	0	4308.21709463099	0	0	0	1957.5977733884
cb5e1546-cda6-4991-911c-f3dd9f1a475a	540.055115961801	585.728922237381	0	691.631923601637	440.676944065484	660.011596180082	435.657844474761	0	0	0	325.237653478854
16d33e09-2e21-4da2-8e57-e78ce28c4408	935.949001719883	914.972556643984	0	2108.13273012787	0	700.213714200254	1349.98407238466	0	0	0	669.747924923348
4d4eff82-ede0-47f1-b49a-ada025952114	854.149454857283	725.976969251501	511.688594879334	535.720935930418	730.983706970477	343.962881293642	0	0	0	0	384.517456817345
522dc834-8367-4f49-b93b-fcba91a2de7e	1062.46410501846	551.278545056748	428.994940516888	0	493.143716668946	0	647.000546971147	0	0	0	482.118145767811
56681386-d407-4f53-ae4f-6c04437652f7	618.7020068156	489.555471412344	466.028776978417	382.934494509655	1032.67171525937	0	933.559257856872	0	0	0	42.5482771677416
d53c2680-89ac-4f87-a7ba-f4c669546b76	1663.29502202277	776.337820992271	0	0	952.527964763567	823.889138203274	1017.0976481343	0	0	0	789.852405883818
afee5b10-3dff-4e50-9575-bc9fe20c5dea	0	2507.66443855555	986.441482419017	0	0	0	2883.21322627853	1022.99489775739	0	3578.22884942451	1681.457105565
d8f0becd-fda8-41f4-a424-e082f9eae22c	1210.47988859382	890.249757108621	1081.08893063022	773.84785284021	685.921950903556	503.575620182654	2405.47282855107	0	0	0	162.363171189849
