GEL-Ovary_common_SBS8	GEL-Ovary_common_SBS3	GEL-Ovary_common_SBS17	GEL-Ovary_common_SBS5	GEL-Ovary_common_SBS1+18	GEL-Ovary_common_SBS13	GEL-Ovary_rare_SBS44	GEL-Ovary_rare_SBS26	GEL-Ovary_rare_SBS6	GEL-Ovary_rare_SBS1	GEL-Ovary_rare_SBS111	GEL-Ovary_rare_SBS31	GEL-Ovary_rare_SBS116	GEL-Ovary_rare_SBS57	GEL-Ovary_rare_SBS2	GEL-Ovary_rare_SBS103	GEL-Ovary_rare_SBS14	GEL-Ovary_rare_SBS30	GEL-Ovary_rare_SBS10a	unassigned
GEL-2169587-11	1303.5211305884	493.468677809485	0	1363.32028808262	453.267563527653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.4223399918419
GEL-2223646-11	3296.6723023907	3222.90340297222	0	1630.8908033599	705.290491061814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401.243000215365
GEL-2588042-11	2199.515538262	3067.92944228275	0	2495.81556420233	1269.64311284047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	598.096342412449
GEL-2407085-11	147.005521048999	175.102139406487	0	744.56038647343	342.67839889579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.6535541752942
GEL-2879899-11	6293.57788506123	3013.13959577776	0	1624.89468946895	0	0	0	0	0	0	0	5853.43943485258	0	0	0	0	0	0	0	1635.94839483948
GEL-2339543-11	938.08622754491	636.701077844311	0	1593.74862275449	1686.55928143713	3386.09209580838	0	0	0	0	0	0	0	0	0	0	0	0	0	91.8126946107786
GEL-2430096-11	600.189877775865	702.636942675159	0	1336.30951971079	2844.03046996041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322.833189877776
GEL-2784045-11	793.358746567598	811.344209336133	0	917.758197383298	447.1385882733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123.400258439671
GEL-2000577-11	0	720.257278106509	442.579802761341	1467.07936883629	3177.75305719921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545.33049309665
GEL-2304409-11	0	696	0	1993.5	1544.5	479.5	0	0	0	0	0	0	0	0	0	0	0	0	0	356.5
GEL-2330467-11	1680.14522526187	1577.69734567274	0	734.626258517238	642.67303976406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278.858130784091
GEL-2264841-11	154.929865304227	132.797027403623	0	630.282861124013	140.845332094752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.1449140733851
GEL-2007555-11	1823.59856719368	1590.21393280632	0	1263.37549407115	1147.93255928854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243.879446640311
GEL-2582280-11	0	278.543495236608	0	1241.19381539903	0	280.543807590192	0	0	0	853.133218803686	0	0	0	0	0	0	0	0	0	548.585662970484
GEL-2601853-11	2810.72605790646	3356.50779510022	0	2307.84855233853	1018.2271714922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	586.69042316259
GEL-2142548-11	5940.56862953892	7276.57203705676	0	2741.45501011607	0	1477.89756149505	0	0	0	0	0	0	0	0	0	0	0	0	0	1331.5067617932
GEL-2474872-11	662.615418795823	0	0	2210.89002443901	597.957787158409	0	0	0	0	0	0	0	0	932.774050211064	0	0	0	0	0	107.762719395694
GEL-2367507-11	786.262634700526	1971.15842452594	0	956.819605713808	1974.15942694846	2770.42540305739	0	0	0	0	0	0	0	0	3173.05989474564	0	0	0	0	343.114610308236
GEL-2727161-11	5187.2017992642	6705.61450908255	0	2851.83605426535	1204.93073120258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1445.41690618532
GEL-2295366-11	4625.37849779087	9012.89180922171	0	1260.28571428571	1386.71405913674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1358.72991956497
GEL-2875426-11	2527.88304188695	1674.09141927613	0	1162.71622610817	572.360309068727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208.949003660023
GEL-2531713-11	3557.10596761557	1873.2658657613	0	1344.47310002612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	880.15506659701
GEL-2892851-11	313.394372112558	600.255354892902	0	762.960100797984	1529.42461150777	318.901301973961	0	0	0	0	0	0	0	0	0	0	0	0	0	51.064258714825
