Hartwig-Uterus_common_SBS17	Hartwig-Uterus_common_SBS31	Hartwig-Uterus_common_SBS13	Hartwig-Uterus_common_SBS111	Hartwig-Uterus_common_SBS2	Hartwig-Uterus_common_SBS3+8	Hartwig-Uterus_common_SBS1	Hartwig-Uterus_rare_SBS44	Hartwig-Uterus_rare_SBS108	Hartwig-Uterus_rare_SBS159	unassigned
HMF000546A	0	0	53669.7162981694	0	16126.0203700704	0	0	0	0	0	1206.2633317602
HMF001735B	0	0	573.686407342657	0	1596.62723994755	1659.09309440559	4276.66225961538	0	0	0	1040.93099868882
HMF002043A	0	2467.33631512869	0	0	0	2111.9277568529	3797.86581920904	0	0	0	1191.87010880937
HMF001776A	0	0	693.157006664979	0	0	2686.86113220282	1679.72707331477	0	0	0	885.254787817431
HMF000327A	0	0	1719.58848350744	0	2109.10852673288	2080.10703442598	3043.65661503628	0	0	0	764.53934029742
HMF001168B	0	319.686956521739	0	0	0	624.31801242236	710.136645962733	0	0	1219.02608695652	358.832298136648
HMF001668A	524.187969260666	384.670258811059	0	0	0	2183.95044607367	1990.12048405618	0	0	0	558.070841798425
HMF000158A	1347.16069638987	1506.29780688466	1231.06066609178	2890.99084065537	0	13593.7121681777	0	0	0	0	902.777821800621
HMF003321A	0	746.944080904224	1419.34384295063	1744.53718024985	0	993.090422367638	3150.87328970851	0	0	0	355.211183819148
HMF001168A	0	319.227110921259	0	0	0	556.896198205895	898.138971949309	0	0	1376.47928235797	363.258436565567
HMF003432A	0	0	0	3267.92008800256	0	8085.06525673326	0	0	0	0	2735.01465526418
HMF001735A	0	0	701.889974983786	1869.03845084777	1585.38084869823	1429.79440378023	4367.92685073659	0	0	0	844.969470953394
HMF003917A	561.818181818182	1942.37140084115	0	0	0	2747.11096732449	2606.15658362989	0	0	0	1412.54286638629
