Hartwig-Breast_common_SBS5	Hartwig-Breast_common_SBS31	Hartwig-Breast_common_SBS17	Hartwig-Breast_common_SBS13	Hartwig-Breast_common_SBS2	Hartwig-Breast_common_SBS18	Hartwig-Breast_common_SBS1	Hartwig-Breast_common_SBS8	Hartwig-Breast_common_SBS3	Hartwig-Breast_rare_SBS44	Hartwig-Breast_rare_SBS97	Hartwig-Breast_rare_SBS10d	Hartwig-Breast_rare_SBS4	Hartwig-Breast_rare_SBS90	Hartwig-Breast_rare_SBS119	Hartwig-Breast_rare_SBS106	unassigned
HMF003071A	965.63573126706	468.521440521264	0	0	0	426.886237562737	1269.62287575944	1383.99427665757	486.580082768337	0	0	0	0	0	0	0	695.759355463592
HMF002932A	1236.74935458525	332.663598608149	0	0	269.727242114715	412.582781456954	868.621618587945	821.669098664272	334.661578179369	0	0	0	0	0	0	0	173.324727803346
HMF002965A	1050.42474001095	0	0	0	327.32074438971	0	1482.18828680898	0	575.684729064039	0	0	0	0	0	0	0	1129.38149972632
HMF001905A	3094.68497663372	0	0	0	0	2225.35210296484	0	8086.59641461733	3162.21083275875	0	0	0	0	0	0	0	3018.15567302536
HMF000818A	1497.18211217787	0	0	3060.28418393128	2108.43991915109	0	800.028600303183	878.932794340576	697.652905507832	0	0	0	0	0	0	0	840.479484588168
HMF001516A	804.517695685869	157.689485920951	0	0	147.143373805218	0	300.81529320589	198.86954275381	0	0	0	0	0	0	0	0	334.964608628262
HMF003726A	440.886573058359	0	0	0	0	610.535322509873	561.992759982448	210.6847301448	0	0	0	0	0	0	0	0	456.90061430452
HMF000403A	1841.31833141982	550.198698813624	0	0	639.069269039418	485.293226176808	1778.40995024876	0	0	0	0	0	0	0	0	0	1228.71052430157
HMF000360A	2225.80775821779	445.261723009815	0	408.699174326219	0	0	1780.04517837669	490.839694656489	0	0	0	0	0	0	0	0	1079.346471413
HMF000273A	1124.04409081695	0	0	0	0	334.364382728563	1491.89489154673	588.261402797486	614.750658828299	0	0	0	0	0	0	0	777.684573281972
HMF001334A	1488.67336306423	1610.31009044305	726.31642562414	1147.79018880507	0	899.511107406327	935.051056558163	2539.35439503188	2274.5567457175	0	0	0	0	0	0	0	388.43662734964
HMF003753A	637.78205203157	0	0	558.685062847121	3277.01829874306	2432.9833382052	582.714527915814	733.399298450745	0	0	0	0	0	0	0	0	340.417421806491
HMF003099A	845.381342062193	0	0	0	0	288.972176759411	1312.14402618658	0	252.412438625205	0	0	0	0	0	0	0	667.090016366611
HMF000144A	2260.73308405839	0	0	578.791615733084	682.664485510894	478.913856331344	1420.76112748975	583.286114906162	468.426691594161	0	0	0	0	0	0	0	471.423024376215
HMF001930A	1248.23546751562	620.865817710176	0	520.806862398302	0	843.997288055654	0	3623.13477184294	705.915929725268	0	0	0	0	0	0	0	923.04386275204
HMF002765A	1697.33695000599	1722.37141829517	0	1859.56030451984	1045.4393957559	1805.48585301523	0	6064.3495983695	1963.70369260281	0	0	0	0	0	0	0	546.75278743556
